Depth (m),EDC3_gas_a (yr),CO2 (ppmv),sigma (ppmv),Depth (m).1,EDC3_gas_a (yr).1,CO2 (ppmv).1,Depth (m).2,tentatively synchronized on EDC3_gas_a (yr),CO2 (ppmv).2,sigma (ppmv).1,Depth (m).3,EDC3_gas_a (yr).2,CO2 (ppmv).3,sigma (ppmv).2,Depth (m).4,EDC3_gas_a (yr).3,CO2 (ppmv).4,Depth (m).5,EDC3_gas_a (yr).4,CO2 (ppmv).5,sigma (ppmv).3,Depth (m).6,EDC3_gas_a (yr).5,CO2 (ppmv).6
206.2,3790.0,274.9,1.3,1289.2,86181,217.0,430.83,42131.0,202.2,0.9,2807.72,450455.0,193.3,1.6,,,,3076.85,681531.0,217.3,1.7,3180.38,785654.0,255.3
209.52,3910.0,271.7,1.0,1309.2,87917,208.0,431.52,42342.0,201.9,1.0,2808.82,451593.0,192.5,1.0,,,,3077.23,681849.0,219.7,0.6,3181.48,786819.0,256.6
212.27,4004.0,271.6,0.7,1338.2,90357,224.2,434.75,43252.0,199.9,0.7,2809.46,452283.0,199.1,0.6,,,,3077.93,682446.0,222.6,1.6,3182.58,787957.0,246.4
215.0,4096.0,272.8,0.8,1349.0,91249,228.3,436.05,43612.0,201.7,0.8,2809.93,452795.0,204.3,1.0,,,,3078.32,682762.0,221.3,1.3,3183.68,789126.0,239.3
216.65,4161.0,271.5,0.9,1387.2,94353,232.0,436.93,43879.0,205.0,0.6,2810.56,453514.0,203.3,1.0,,,,3078.96,683262.0,218.7,0.8,3185.88,791767.0,217.3
221.05,4324.0,271.1,0.8,1451.5,99849,225.8,438.21,44239.0,210.0,0.6,2811.01,454023.0,208.3,1.4,,,,3079.43,683612.0,217.5,0.7,3186.98,793255.0,224.2
222.72,4374.0,269.1,0.6,1463.2,100837,230.8,438.92,44439.0,214.0,0.8,2812.12,455279.0,202.4,1.3,,,,3080.14,684142.0,217.5,1.4,3188.08,794949.0,206.7
225.48,4480.0,269.8,1.0,1476.1,101749,236.9,439.83,44700.0,216.2,1.4,2813.21,456591.0,195.5,0.8,,,,3080.52,684419.0,219.4,1.0,3190.28,798893.0,193.6
228.2,4573.0,271.5,0.8,1505.0,103465,228.1,441.02,45010.0,214.6,0.2,2814.32,458049.0,190.7,1.9,,,,3081.25,684949.0,219.5,1.1,,,
232.05,4703.0,270.7,0.5,1526.3,104704,236.9,441.8,45222.0,215.7,0.6,2815.43,459430.0,194.4,0.7,,,,3081.63,685217.0,219.7,1.2,,,
233.72,4766.0,269.3,1.0,1542.1,105636,230.6,442.76,45466.0,210.6,0.8,2816.52,460792.0,199.9,2.6,,,,3082.34,685716.0,223.5,1.0,,,
236.47,4874.0,268.6,1.1,1575.2,107579,238.2,444.23,45839.0,206.6,0.6,2817.25,461687.0,205.2,0.9,,,,3082.72,685980.0,224.4,1.3,,,
240.27,5004.0,269.8,1.2,1582.8,108153,245.6,446.42,46511.0,203.1,0.9,2817.62,462133.0,210.0,0.7,,,,3083.37,686425.0,224.3,1.1,,,
242.5,5094.0,267.6,0.6,1598.0,109804,251.2,447.42,46935.0,200.0,0.5,2818.72,463456.0,208.1,2.2,,,,3083.82,686726.0,227.3,1.7,,,
244.72,5160.0,265.3,1.7,1615.0,111862,256.7,447.93,47175.0,199.1,0.7,2819.83,464866.0,204.4,1.9,,,,3084.56,687227.0,228.7,1.3,,,
248.02,5274.0,265.2,0.8,1627.9,113262,266.3,449.24,47916.0,202.1,0.6,2820.92,466265.0,203.4,1.2,,,,3084.92,687470.0,228.8,1.5,,,
250.72,5370.0,267.6,2.0,1637.6,114096,261.4,450.05,48488.0,206.9,0.6,2822.01,467602.0,205.5,0.9,,,,3085.65,687949.0,232.3,1.0,,,
253.5,5476.0,265.9,0.9,1644.0,114601,274.5,450.83,49104.0,206.9,0.7,2822.66,468323.0,206.5,0.9,,,,3086.03,688195.0,233.0,0.5,,,
256.27,5562.0,265.5,0.8,1651.0,115118,273.2,452.33,50357.0,212.3,0.5,2823.11,468810.0,215.5,2.3,,,,3086.73,688652.0,235.8,1.1,,,
259.02,5657.0,260.7,1.6,1669.2,116501,262.5,452.99,50928.0,214.3,1.1,2823.76,469470.0,218.7,0.9,,,,3087.08,688881.0,234.9,1.2,,,
260.65,5716.0,266.7,0.9,1687.2,117750,267.6,453.52,51367.0,218.0,0.7,2824.22,469941.0,229.2,1.4,,,,3087.76,689304.0,235.8,2.0,,,
264.5,5855.0,265.5,0.8,1700.9,118649,273.7,455.16,52618.0,216.9,0.7,2824.86,470597.0,232.7,0.7,,,,3088.23,689603.0,239.9,0.6,,,
268.37,5998.0,263.2,0.6,1716.0,119672,271.9,456.72,53630.0,211.7,0.7,2825.31,471046.0,243.7,1.8,,,,3088.93,690057.0,235.6,1.3,,,
269.42,6039.0,262.7,0.9,1726.8,120382,265.2,457.62,54250.0,210.8,0.7,2826.05,471763.0,243.9,1.1,,,,3089.3,690294.0,234.8,2.1,,,
272.2,6131.0,261.2,0.7,1736.8,121017,277.6,458.73,55053.0,208.0,0.9,2826.42,472095.0,245.6,0.9,,,,3090.05,690771.0,240.0,2.1,,,
276.07,6263.0,261.1,0.4,1758.2,122344,272.1,459.81,55927.0,211.5,0.6,2827.53,473102.0,241.2,1.7,,,,3090.42,690999.0,234.0,0.8,,,
278.27,6354.0,259.4,0.6,1770.0,123070,276.4,461.92,57477.0,218.2,0.7,2828.63,474162.0,233.1,0.6,,,,3091.13,691432.0,235.6,1.0,,,
280.53,6434.0,262.1,0.9,1789.2,124213,268.7,464.13,58891.0,220.4,0.9,2829.72,475218.0,232.8,1.1,,,,3091.52,691672.0,236.6,0.7,,,
283.72,6545.0,262.9,0.5,1790.0,124257,266.6,465.02,59474.0,215.0,0.9,2830.82,476240.0,236.6,1.0,,,,3092.16,692057.0,235.5,0.9,,,
285.97,6617.0,258.1,1.4,1799.0,124789,266.3,465.74,59955.0,214.9,0.6,2831.93,477162.0,239.1,0.9,,,,3092.62,692338.0,235.9,1.4,,,
288.17,6713.0,257.6,0.9,1804.0,125081,279.7,466.48,60431.0,212.5,0.7,2832.56,477719.0,236.5,1.2,,,,3093.33,692765.0,232.9,0.6,,,
